ResponseId_x,Location,Gender,HouseholdNumber,Education,Greywater,Toilet button,Showerhead,Watersaving toilet,1:NumberOfShowers,1:ShowerDuration,1:Turnwateroff,1:NumberOfWashing,1:WashMode,1:FullWash,1:FlushButton,2:NumberOfShowers,2:ShowerDuration,2:Turnwateroff,2:NumberOfWashing,2:WashMode,2:FullWash,2:FlushButton,EFTtype,Vivid,3:NumberOfShowers,3:ShowerDuration,3:Turnwateroff,3:NumberOfWashing,3:WashMode,3:FullWash,3:FlushButton,ED50_T1,k_T1,ED50_T2,k_T2,ED50_T3,k_T3,age
R_8q3C0r6Xcc4sJtK,Flevoland,Man,10,Master’s degree or higher (HBO or WO),No,Yes,Standard showerhead,Yes,4,15,2,10.0,1,4,1,4,15,2,10.0,1,4,1,I imagined the experience in my head,Very vivid,4,15,2,10.0,1,4,1,298.2,0.0033534540576794,298.2,0.0033534540576794,298.2,0.0033534540576794,18
R_8sERQ5LZfMPWU4p,Noord-Holland,Man,3,Master’s degree or higher (HBO or WO),No,Yes,Water-saving showerhead,Yes,5,5,4,10.0,4,4,4,5,3,4,10.0,4,4,4,I imagined the experience in my head,Moderately vivid,5,3,4,8.0,4,4,4,210.9,0.0047415836889521,298.2,0.0033534540576794,17.15,0.0583090379008746,22
R_8soZCMHgmLwnMwX,Noord-Holland,Woman,4,Bachelor’s degree (HBO or WO),I do not know,No,Standard showerhead,I do not know,3,30,2,4.0,4,5,3,4,30,3,4.0,4,4,3,I imagined the experience in my head,Moderately vivid,3,30,3,4.0,4,4,3,894.7,0.0011176930814798,894.7,0.0011176930814798,894.7,0.0011176930814798,23
R_8tJi2sER1dV9X57,Zuid-Holland,Man,2,Master’s degree or higher (HBO or WO),No,Yes,Rain shower,I do not know,7,6,1,4.0,5,4,4,5,4,3,3.0,4,4,5,I imagined the experience in my head,Moderately vivid,5,4,3,3.0,4,4,5,9131.0,0.0001095170298981,9131.0,0.0001095170298981,9131.0,0.0001095170298981,37
R_8k7idr7qL0xWU8d,Flevoland,Woman,4,Bachelor’s degree (HBO or WO),Yes,No,Water-saving showerhead,I do not know,4,20,3,7.0,4,4,4,4,20,4,7.0,4,4,4,I imagined the experience in my head,Slightly vivid,4,15,4,7.0,4,4,4,516.5,0.0019361084220716,105.4,0.0094876660341555,516.5,0.0019361084220716,43
R_8HioV9G7bf6gHHb,Flevoland,Man,3,Master’s degree or higher (HBO or WO),No,Yes,Water-saving showerhead,I do not know,4,12,3,3.0,4,4,5,3,10,5,3.0,4,4,5,I imagined the experience in my head,Vivid,3,6,5,2.0,5,5,5,516.5,0.0019361084220716,1265.0,0.000790513833992,1265.0,0.000790513833992,45
R_8s5Xqr3ItdgWr8R,Gelderland,Woman,8,Vocational education (MBO),I do not know,Yes,Water-saving showerhead,No,3,15,2,6.0,4,5,5,3,15,4,6.0,5,5,5,I wrote my experience down,Moderately vivid,3,15,4,6.0,5,5,5,3579.0,0.0002794076557697,3579.0,0.0002794076557697,3579.0,0.0002794076557697,37
R_8luajblb5UwJN1n,Overijssel,Woman,2,Bachelor’s degree (HBO or WO),No,Yes,Rain shower,No,2,10,1,3.0,4,5,5,2,10,1,3.0,5,5,5,I wrote my experience down,Very vivid,2,5,3,2.0,5,5,5,516.5,0.0019361084220716,516.5,0.0019361084220716,516.5,0.0019361084220716,37
R_83RTFjY1MbQ1vUJ,Flevoland,Man,3,Vocational education (MBO),No,Yes,Water-saving showerhead,No,7,5,1,5.0,3,4,4,5,5,1,4.0,3,4,5,I wrote my experience down,Vivid,7,5,1,4.0,4,5,5,516.5,0.0019361084220716,516.5,0.0019361084220716,516.5,0.0019361084220716,47
R_2pXS7LCgvBGpaoC,Flevoland,Man,1,Secondary education (High school),I do not know,Yes,Water-saving showerhead,No,7,5,1,2.0,5,5,5,7,5,3,2.0,5,5,5,I imagined the experience in my head,Moderately vivid,7,5,1,2.0,5,5,5,298.2,0.0033534540576794,516.5,0.0019361084220716,516.5,0.0019361084220716,67
R_8N1eFmW9WF8TBdL,Flevoland,Woman,1,Bachelor’s degree (HBO or WO),I do not know,Yes,Water-saving showerhead,Yes,7,6,5,2.0,1,3,4,7,6,5,2.0,1,4,4,I imagined the experience in my head,Vivid,7,6,5,1.0,3,5,5,149.1,0.0067069081153588,149.1,0.0067069081153588,149.1,0.0067069081153588,67
R_20BJRghTa6w1R6z,Flevoland,Woman,4,Vocational education (MBO),I do not know,Yes,Standard showerhead,No,7,5,1,8.0,4,5,3,7,5,1,8.0,3,5,3,I imagined the experience in my head,Slightly vivid,7,5,1,8.0,3,5,5,516.5,0.0019361084220716,516.5,0.0019361084220716,516.5,0.0019361084220716,36
R_8ix1MqSHDH1jFLs,Flevoland,Woman,1,Vocational education (MBO),No,No,Standard showerhead,No,4,10,1,2.0,2,5,4,4,10,1,2.0,1,5,4,I imagined the experience in my head,Moderately vivid,4,10,1,2.0,2,5,3,1.225,0.8163265306122448,1.225,0.8163265306122448,1.225,0.8163265306122448,62
R_25HhvO0PC3lqeTq,Flevoland,Man,1,Secondary education (High school),No,Yes,Standard showerhead,No,8,15,1,4.0,4,4,1,8,15,1,4.0,4,4,4,I imagined the experience in my head,Moderately vivid,7,15,1,4.0,4,4,4,149.1,0.0067069081153588,149.1,0.0067069081153588,149.1,0.0067069081153588,62
R_2QLNct4A1s6iFeb,Flevoland,Woman,4,Master’s degree or higher (HBO or WO),No,Yes,Rain shower,No,7,10,5,4.0,4,4,5,5,5,5,4.0,4,4,5,I imagined the experience in my head,Vivid,4,5,5,4.0,5,4,5,516.5,0.0019361084220716,516.5,0.0019361084220716,516.5,0.0019361084220716,38
R_2MWpsYN6uluPKI9,Flevoland,Woman,1,Vocational education (MBO),Yes,Yes,Water-saving showerhead,No,3,10,2,2.0,4,4,4,3,10,2,2.0,4,4,4,I imagined the experience in my head,Slightly vivid,3,10,4,2.0,4,4,4,894.7,0.0011176930814798,894.7,0.0011176930814798,2310.0,0.0004329004329004,72
R_8phW0YYGZlTWy4J,Flevoland,Man,2,Vocational education (MBO),No,Yes,Standard showerhead,No,2,20,5,2.0,2,4,4,2,10,5,1.0,4,5,5,I imagined the experience in my head,Slightly vivid,2,10,5,1.0,4,5,5,74.56,0.0134120171673819,17.15,0.0583090379008746,210.9,0.0047415836889521,33
R_2OOKFfmOc0XON6p,Groningen,Man,2,Vocational education (MBO),No,No,Standard showerhead,No,7,5,5,1.0,5,4,4,7,5,5,1.0,5,4,4,I imagined the experience in my head,Very vivid,7,5,5,1.0,5,4,4,516.5,0.0019361084220716,516.5,0.0019361084220716,516.5,0.0019361084220716,36
R_2xW83EY2Y493vjh,Noord-Brabant,Woman,2,Bachelor’s degree (HBO or WO),I do not know,No,Standard showerhead,No,4,10,3,2.0,2,5,4,2,5,5,1.0,3,5,4,I imagined the experience in my head,Moderately vivid,3,10,5,1.0,5,5,5,43.05,0.0232288037166085,17.15,0.0583090379008746,43.05,0.0232288037166085,24
R_2m3jOCONg8eRfuV,Gelderland,Man,3,Master’s degree or higher (HBO or WO),I do not know,Yes,Rain shower,Yes,3,12,3,2.0,5,4,5,3,10,4,2.0,4,4,5,I wrote my experience down,Moderately vivid,2,12,3,2.0,3,5,4,25.28,0.0395569620253164,25.28,0.0395569620253164,17.15,0.0583090379008746,27
R_8t6lMoVvLXjVus9,Zuid-Holland,Woman,5,Bachelor’s degree (HBO or WO),I do not know,Yes,Standard showerhead,Yes,8,5,2,2.0,5,5,5,8,5,4,2.0,5,5,5,Other:,Slightly vivid,8,5,4,2.0,5,5,5,149.1,0.0067069081153588,149.1,0.0067069081153588,149.1,0.0067069081153588,22
R_8KroEiQU9ghkHOi,Flevoland,Woman,3,Vocational education (MBO),No,No,Standard showerhead,Yes,7,15,1,2.0,1,1,1,7,15,1,3.0,1,1,1,I imagined the experience in my head,Very vivid,4,5,5,1.0,5,5,5,17.15,0.0583090379008746,17.15,0.0583090379008746,3579.0,0.0002794076557697,18
R_8gI6EpiUOmuBL9w,Noord-Brabant,Prefer not to say,3,Bachelor’s degree (HBO or WO),I do not know,Yes,Standard showerhead,No,7,15,4,4.0,3,3,4,7,13,4,3.0,3,3,3,I imagined the experience in my head,Moderately vivid,7,13,4,4.0,3,4,3,210.9,0.0047415836889521,17.15,0.0583090379008746,74.56,0.0134120171673819,24
R_2Em27EFRfi64qFC,Friesland,Woman,2,Bachelor’s degree (HBO or WO),I do not know,Yes,Standard showerhead,I do not know,5,10,2,1.0,4,5,4,5,7,4,1.0,5,5,5,I imagined the experience in my head,Moderately vivid,4,5,5,1.0,5,5,5,1633.0,0.0006123698714023,2310.0,0.0004329004329004,9131.0,0.0001095170298981,21
R_82FzqSNFwuykDRa,Friesland,Man,2,Bachelor’s degree (HBO or WO),Yes,Yes,Standard showerhead,Yes,5,20,1,3.0,1,2,1,5,20,1,3.0,1,3,1,I wrote my experience down,Very vivid,3,5,4,1.0,4,4,4,17.15,0.0583090379008746,17.15,0.0583090379008746,1265.0,0.000790513833992,47
R_8HUHDVWhGB2upsx,Noord-Holland,Man,2,Bachelor’s degree (HBO or WO),No,Yes,Standard showerhead,No,5,8,4,3.0,3,4,5,5,7,5,3.0,4,5,5,I imagined the experience in my head,Vivid,5,6,5,3.0,5,5,5,2310.0,0.0004329004329004,2310.0,0.0004329004329004,2310.0,0.0004329004329004,35
R_8MLj3RhjKsW3glQ,Utrecht,Woman,1,Secondary education (High school),No,Yes,Standard showerhead,Yes,2,3,5,1.0,5,5,4,2,3,5,1.0,5,5,5,I imagined the experience in my head,Moderately vivid,2,3,5,1.0,5,5,5,298.2,0.0033534540576794,298.2,0.0033534540576794,298.2,0.0033534540576794,91
R_8sUe8TichNZozXF,Utrecht,Woman,4,Master’s degree or higher (HBO or WO),No,Yes,Water-saving showerhead,I do not know,7,5,1,7.0,1,5,3,7,5,1,7.0,4,5,3,I imagined the experience in my head,Moderately vivid,7,3,3,7.0,4,5,3,210.9,0.0047415836889521,210.9,0.0047415836889521,210.9,0.0047415836889521,51
R_8upEZnlckQOxY09,Utrecht,Man,2,Master’s degree or higher (HBO or WO),No,Yes,Standard showerhead,No,7,1,5,2.0,4,5,5,7,1,5,2.0,5,5,5,Other:,Not vivid at all,1,1,5,2.0,5,5,5,894.7,0.0011176930814798,298.2,0.0033534540576794,298.2,0.0033534540576794,61
R_2kc62FdNnYOg093,Flevoland,Woman,4,Master’s degree or higher (HBO or WO),No,Yes,Water-saving showerhead,No,6,12,2,4.0,3,5,4,6,10,2,4.0,3,5,4,I imagined the experience in my head,Slightly vivid,6,8,2,4.0,3,5,4,516.5,0.0019361084220716,516.5,0.0019361084220716,516.5,0.0019361084220716,41
R_23UfNYrHGafD7Lw,Zuid-Holland,Woman,5,Master’s degree or higher (HBO or WO),Yes,Yes,Rain shower,Yes,4,15,1,8.0,3,5,4,4,10,2,5.0,5,5,4,I imagined the experience in my head,Moderately vivid,4,7,3,5.0,5,5,5,894.7,0.0011176930814798,894.7,0.0011176930814798,17.15,0.0583090379008746,22
R_8GJEyNDz18zVPww,Friesland,Man,3,Bachelor’s degree (HBO or WO),No,No,Water-saving showerhead,No,2,5,1,4.0,4,5,5,3,5,1,4.0,4,5,5,Other:,Slightly vivid,3,5,1,4.0,4,5,5,894.7,0.0011176930814798,17.15,0.0583090379008746,894.7,0.0011176930814798,40
R_8JDR4Z1EzoSrxw6,Noord-Holland,Woman,3,Bachelor’s degree (HBO or WO),I do not know,Yes,Rain shower,I do not know,6,10,4,3.0,4,3,2,4,5,3,1.0,5,3,4,I imagined the experience in my head,Slightly vivid,3,5,3,1.0,5,2,5,12.12,0.0825082508250825,8.573,0.1166452816983553,12.12,0.0825082508250825,21
R_2r60bYPyA2W4BS5,Limburg,Man,3,Bachelor’s degree (HBO or WO),No,Yes,Standard showerhead,No,4,8,2,4.0,2,3,2,4,8,3,4.0,2,3,2,I wrote my experience down,Very vivid,3,7,4,3.0,3,4,3,74.56,0.0134120171673819,74.56,0.0134120171673819,298.2,0.0033534540576794,55
R_8ptHb3PkIQPh41J,Other / Prefer not to say,Woman,2,Master’s degree or higher (HBO or WO),No,Yes,Standard showerhead,No,7,10,1,3.0,3,4,3,7,10,1,2.0,3,4,3,I imagined the experience in my head,Slightly vivid,5,5,3,2.0,4,5,4,516.5,0.0019361084220716,516.5,0.0019361084220716,516.5,0.0019361084220716,29
R_40GEnmAdF8DvhzF,Friesland,Man,1,Secondary education (High school),No,Yes,Water-saving showerhead,Yes,7,10,1,2.0,2,2,3,6,9,1,2.0,3,3,3,I drew my experience,Vivid,5,6,4,1.0,4,4,4,149.1,0.0067069081153588,149.1,0.0067069081153588,210.9,0.0047415836889521,59
R_86wBipjUuzPJF4d,Utrecht,Man,4,Bachelor’s degree (HBO or WO),Yes,Yes,Rain shower,No,5,15,1,5.0,3,5,3,5,15,1,4.0,3,5,3,I imagined the experience in my head,Moderately vivid,5,10,2,5.0,4,5,4,516.5,0.0019361084220716,516.5,0.0019361084220716,894.7,0.0011176930814798,20
R_2dDMcLMDOcvL6S3,Friesland,Man,4,Vocational education (MBO),No,Yes,Water-saving showerhead,No,5,5,3,5.0,5,5,5,5,5,4,5.0,5,5,5,I imagined the experience in my head,Moderately vivid,5,5,4,5.0,5,5,5,298.2,0.0033534540576794,17.15,0.0583090379008746,298.2,0.0033534540576794,22
R_2n6IaL3FsPir3uk,Noord-Holland,Man,2,Bachelor’s degree (HBO or WO),No,No,Standard showerhead,No,2,10,3,2.0,5,5,5,2,10,3,2.0,5,5,5,I imagined the experience in my head,Moderately vivid,2,10,3,2.0,5,5,5,298.2,0.0033534540576794,298.2,0.0033534540576794,298.2,0.0033534540576794,23
R_2qPE3oUT1Hv6Et6,Noord-Holland,Woman,2,Bachelor’s degree (HBO or WO),No,No,Standard showerhead,I do not know,7,15,1,1.0,2,4,2,7,10,4,1.0,4,5,4,I imagined the experience in my head,Vivid,7,10,4,1.0,4,5,5,516.5,0.0019361084220716,298.2,0.0033534540576794,210.9,0.0047415836889521,22
R_8R93RQ8XeodaJVJ,Groningen,Woman,3,Bachelor’s degree (HBO or WO),No,No,Rain shower,No,7,5,1,2.0,2,5,5,7,5,1,2.0,2,5,5,I imagined the experience in my head,Vivid,7,5,1,2.0,2,5,5,3579.0,0.0002794076557697,894.7,0.0011176930814798,17.15,0.0583090379008746,23
R_8mmodHoLtQJeaIH,Flevoland,Woman,3,Master’s degree or higher (HBO or WO),Yes,Yes,Water-saving showerhead,I do not know,7,10,2,7.0,2,5,5,7,10,4,7.0,4,5,5,I imagined the experience in my head,Vivid,7,8,4,7.0,4,5,5,516.5,0.0019361084220716,516.5,0.0019361084220716,516.5,0.0019361084220716,46
R_2P6TPLYDTq5e5gO,Zuid-Holland,Man,3,Bachelor’s degree (HBO or WO),No,No,Rain shower,No,4,6,1,3.0,4,4,3,4,6,1,3.0,4,4,3,I imagined the experience in my head,Moderately vivid,4,6,1,3.0,4,4,3,149.1,0.0067069081153588,149.1,0.0067069081153588,17.15,0.0583090379008746,23
R_8Eya6NfL6tUZywF,Gelderland,Man,5,Master’s degree or higher (HBO or WO),No,Yes,Standard showerhead,No,2,8,3,4.0,5,5,2,2,6,4,4.0,5,5,4,I imagined the experience in my head,Vivid,2,4,5,3.0,5,5,5,516.5,0.0019361084220716,894.7,0.0011176930814798,149.1,0.0067069081153588,44
R_8PMlXvU8QFGy5uJ,Noord-Holland,Woman,3,Secondary education (High school),No,Yes,Standard showerhead,No,7,3,4,2.0,3,5,5,7,2,5,1.0,5,5,5,I imagined the experience in my head,Slightly vivid,7,2,5,1.0,5,5,5,516.5,0.0019361084220716,516.5,0.0019361084220716,894.7,0.0011176930814798,26
R_2NytPM1dYGVW3EN,Noord-Holland,Man,2,Bachelor’s degree (HBO or WO),No,No,Standard showerhead,No,7,15,1,2.0,1,4,3,7,15,1,2.0,1,4,3,I imagined the experience in my head,Slightly vivid,7,15,5,2.0,1,4,3,298.2,0.0033534540576794,298.2,0.0033534540576794,298.2,0.0033534540576794,25
R_2oi5Ixv8v4S6dRn,Noord-Brabant,Woman,1,Bachelor’s degree (HBO or WO),No,Yes,Water-saving showerhead,No,4,10,3,3.0,4,4,5,4,7,4,2.0,5,4,5,I imagined the experience in my head,Moderately vivid,3,7,5,2.0,5,5,5,149.1,0.0067069081153588,149.1,0.0067069081153588,894.7,0.0011176930814798,22
R_8vUdzIyCNkAErGV,Utrecht,Man,2,Master’s degree or higher (HBO or WO),No,No,Standard showerhead,No,7,5,1,4.0,5,2,5,7,5,5,3.0,5,5,5,I wrote my experience down,Not vivid at all,7,5,5,3.0,5,5,5,149.1,0.0067069081153588,17.15,0.0583090379008746,149.1,0.0067069081153588,26
R_81dZ4XL9POnFtNn,Noord-Holland,Man,3,Secondary education (High school),I do not know,Yes,Standard showerhead,No,7,15,1,5.0,4,4,3,7,15,1,5.0,4,4,4,I imagined the experience in my head,Not vivid at all,7,15,2,5.0,4,4,4,149.1,0.0067069081153588,149.1,0.0067069081153588,17.15,0.0583090379008746,19
R_2iWYcrpp1oRQRyh,Noord-Holland,Man,3,Secondary education (High school),No,No,Rain shower,I do not know,7,70,1,7.0,5,5,3,7,70,1,7.0,5,5,3,I imagined the experience in my head,Moderately vivid,7,70,1,7.0,5,5,3,1633.0,0.0006123698714023,1633.0,0.0006123698714023,1633.0,0.0006123698714023,20
R_2qU2sXpfFOAGQHX,Noord-Holland,Man,3,Secondary education (High school),I do not know,No,Standard showerhead,No,7,8,5,4.0,4,5,5,7,8,1,4.0,4,5,5,I wrote my experience down,Not vivid at all,7,8,1,4.0,3,5,5,210.9,0.0047415836889521,210.9,0.0047415836889521,210.9,0.0047415836889521,22
R_8dd9LszGv8XRoxy,Noord-Holland,Man,1,Secondary education (High school),No,I do not know,Standard showerhead,I do not know,8,10,1,2.0,4,5,5,8,10,1,1.0,5,5,5,I imagined the experience in my head,Very vivid,8,10,1,1.0,5,5,5,2310.0,0.0004329004329004,2310.0,0.0004329004329004,2310.0,0.0004329004329004,21
R_2HhfQXWJEM7WrFn,Noord-Holland,Woman,5,Secondary education (High school),No,Yes,Rain shower,No,3,15,2,3.0,5,5,5,3,10,2,3.0,5,5,5,Other:,Vivid,3,10,2,3.0,5,5,5,1265.0,0.000790513833992,1633.0,0.0006123698714023,2310.0,0.0004329004329004,20
R_2vGEhTyhBumTnax,Noord-Holland,Man,1,Secondary education (High school),No,Yes,Standard showerhead,I do not know,3,10,3,1.0,2,4,2,3,12,2,1.0,3,4,3,I wrote my experience down,Slightly vivid,3,12,3,1.0,3,4,2,1633.0,0.0006123698714023,17.15,0.0583090379008746,298.2,0.0033534540576794,20
R_2E5FLlJkSR66zPw,Noord-Holland,Non-binary,1,Bachelor’s degree (HBO or WO),I do not know,No,Standard showerhead,No,5,20,1,0.5,4,5,5,4,20,2,0.5,4,5,5,I wrote my experience down,Very vivid,4,20,3,0.5,4,5,5,7748.0,0.0001290655653071,7748.0,0.0001290655653071,7748.0,0.0001290655653071,24
